from,to,Δs²,relation,cost
ev_4,ev_21,-288.1573425923596,timelike-irreversible,16.97519786607389
ev_4,ev_22,-323.06406415303064,timelike-irreversible,17.973982979657865
ev_4,ev_23,-359.96743777421045,timelike-irreversible,18.97280785161254
ev_4,ev_24,-398.8677674782351,timelike-irreversible,19.971674128080377
ev_4,ev_25,-439.7653668647302,timelike-irreversible,20.970583369680735
ev_4,ev_26,-482.66055812391033,timelike-irreversible,21.969537048465778
ev_4,ev_27,-527.5536710228497,timelike-irreversible,22.968536545083793
ev_4,ev_28,-574.4450418679126,timelike-irreversible,23.967583146156237
ev_4,ev_29,-623.3350124466095,timelike-irreversible,24.966678041874324
ev_4,ev_30,-674.2239289522066,timelike-irreversible,25.965822323820337
ev_4,ev_31,-727.1121408944744,timelike-irreversible,26.96501698301847
ev_4,ev_32,-782.0,timelike-irreversible,27.964262908219126
ev_4,ev_33,-838.8878591055256,timelike-irreversible,28.96356088442037
ev_4,ev_34,-897.7760710477934,timelike-irreversible,29.962911591629297
ev_4,ev_35,-958.6649875533905,timelike-irreversible,30.962315603865783
ev_4,ev_36,-1021.5549581320873,timelike-irreversible,31.961773388410215
ev_4,ev_37,-1086.4463289771502,timelike-irreversible,32.96128530529643
ev_4,ev_38,-1153.3394418760895,timelike-irreversible,33.96085160705028
ev_4,ev_39,-1222.2346331352699,timelike-irreversible,34.96047243867379
ev_4,ev_40,-1293.132232521765,timelike-irreversible,35.96014783787415
ev_4,ev_41,-1366.0325622257897,timelike-irreversible,36.95987773553627
ev_4,ev_42,-1440.9359358469692,timelike-irreversible,37.95966195643698
ev_4,ev_43,-1517.8426574076402,timelike-irreversible,38.959500220198414
ev_4,ev_44,-1596.7530203962826,timelike-irreversible,39.95939214247738
ev_4,ev_45,-1677.667306844096,timelike-irreversible,40.95933723638721
ev_4,ev_46,-1760.585786437627,timelike-irreversible,41.95933491414785
ev_4,ev_47,-1845.5087156702336,timelike-irreversible,42.95938448895926
ev_4,ev_48,-1932.4363370350638,timelike-irreversible,43.95948517709305
ev_4,ev_49,-2021.3688782620816,timelike-irreversible,44.95963610019638
ev_4,ev_50,-2112.306551601543,timelike-irreversible,45.9598362878018
ev_4,ev_51,-2205.249553156182,timelike-irreversible,46.960084680036324
ev_4,ev_52,-2300.198062264195,timelike-irreversible,47.96038013052227
ev_4,ev_53,-2397.1522409349773,timelike-irreversible,48.96072140946227
ev_4,ev_54,-2496.1122333393832,timelike-irreversible,49.96110720690028
ev_4,ev_55,-2597.07816535611,timelike-irreversible,50.96153613614988
ev_4,ev_56,-2700.0501441756364,timelike-irreversible,51.962006737381074
